codename,manualstatus,manualsuccessrate,assistedstatus,assistedsuccessrate,firstapproach,secondapproach,firstapp,secondapp
Blue-Fox,OK,8-8,OK,8-12,touchcore,manual,xox,bookstore
Blue-Raccoon,OK,8-8,OK,7-12,touchcore,manual,xox,bookstore
Blue-Turtle,OK,3-8,NR,0,touchcore,manual,xox,bookstore
Blue-Unicorn,OK,8-8,OK,5-12,touchcore,manual,xox,bookstore
Blue-Zebra,OK,8-8,OK,7-12,touchcore,manual,xox,bookstore
Green-Fox,OK,7-8,NR,0,manual,touchcore,bookstore,xox
Green-Koala,OK,8-8,OK,7-12,manual,touchcore,bookstore,xox
Green-Raccoon,OK,6-8,OK,6-12,manual,touchcore,bookstore,xox
Green-Squid,OK,8-8,NR,0,manual,touchcore,bookstore,xox
Green-Turtle,OK,8-8,NR,0,manual,touchcore,bookstore,xox
Green-Unicorn,OK,8-8,NR,0,manual,touchcore,bookstore,xox
Green-Zebra,OK,4-8,OK,12-12,manual,touchcore,bookstore,xox
Red-Fox,OK,6-12,OK,0-8,touchcore,manual,bookstore,xox
Red-Koala,OK,12-12,OK,8-8,touchcore,manual,bookstore,xox
Red-Raccoon,OK,10-12,NR,0,touchcore,manual,bookstore,xox
Red-Squid,OK,12-12,NR,0,touchcore,manual,bookstore,xox
Red-Turtle,OK,12-12,OK,7-8,touchcore,manual,bookstore,xox
Red-Unicorn,OK,12-12,OK,6-8,touchcore,manual,bookstore,xox
Yellow-Fox,OK,12-12,OK,8-8,manual,touchcore,xox,bookstore
Yellow-Koala,OK,12-12,OK,6-8,manual,touchcore,xox,bookstore
Yellow-Raccoon,OK,6-12,NC,0,manual,touchcore,xox,bookstore
Yellow-Squid,OK,12-12,,,manual,touchcore,xox,bookstore
Yellow-Turtle,OK,12-12,OK,3-8,manual,touchcore,xox,bookstore
Yellow-Unicorn,OK,12-12,OK,3-8,manual,touchcore,xox,bookstore
Yellow-Zebra,OK,12-12,OK,4-8,manual,touchcore,xox,bookstore
