codename,manualstatus,manualsuccessrate,assistedstatus,assistedsuccessrate,firstapproach,secondapproach,firstapp,secondapp,javaskill,springskill,mavenskill,touchcoreskill,unixskill,restskill,singletonskill,reflectionskill
Blue-Fox,OK,8-8,OK,8-12,touchcore,manual,xox,bookstore,2,1,2,4,5,3,5,4
Blue-Raccoon,OK,8-8,OK,7-12,touchcore,manual,xox,bookstore,3,1,2,2,4,3,5,1
Blue-Turtle,OK,3-8,NR,0,touchcore,manual,xox,bookstore,4,3,4,4,5,4,5,4
Blue-Unicorn,OK,8-8,OK,5-12,touchcore,manual,xox,bookstore,4,3,3,2,4,4,5,2
Blue-Zebra,OK,8-8,OK,7-12,touchcore,manual,xox,bookstore,3,1,2,3,2,4,5,4
Green-Fox,OK,7-8,NR,0,manual,touchcore,bookstore,xox,3,3,2,2,4,4,3,4
Green-Koala,OK,8-8,OK,7-12,manual,touchcore,bookstore,xox,4,2,3,5,5,4,5,4
Green-Raccoon,OK,6-8,OK,6-12,manual,touchcore,bookstore,xox,2,2,1,1,2,5,5,4
Green-Squid,OK,8-8,NR,0,manual,touchcore,bookstore,xox,3,2,2,3,3,3,2,1
Green-Turtle,OK,8-8,NR,0,manual,touchcore,bookstore,xox,3,3,3,4,4,4,3,3
Green-Unicorn,OK,8-8,NR,0,manual,touchcore,bookstore,xox,3,2,5,1,4,3,5,4
Green-Zebra,OK,4-8,OK,12-12,manual,touchcore,bookstore,xox,2,1,2,1,5,3,4,3
Red-Fox,OK,6-12,OK,0-8,touchcore,manual,bookstore,xox,3,2,3,1,4,2,5,4
Red-Koala,OK,12-12,OK,8-8,touchcore,manual,bookstore,xox,4,2,1,5,4,5,5,4
Red-Raccoon,OK,10-12,NR,0,touchcore,manual,bookstore,xox,3,3,3,1,4,4,1,1
Red-Squid,OK,12-12,NR,0,touchcore,manual,bookstore,xox,3,1,2,1,4,2,5,1
Red-Turtle,OK,12-12,OK,7-8,touchcore,manual,bookstore,xox,2,4,3,4,4,5,5,2
Red-Unicorn,OK,12-12,OK,6-8,touchcore,manual,bookstore,xox,4,4,2,3,4,5,1,3
Yellow-Fox,OK,12-12,OK,8-8,manual,touchcore,xox,bookstore,4,4,3,1,4,2,5,4
Yellow-Koala,OK,12-12,OK,6-8,manual,touchcore,xox,bookstore,2,1,2,1,4,3,5,4
Yellow-Raccoon,OK,6-12,NC,0,manual,touchcore,xox,bookstore,4,1,2,3,5,3,2,3
Yellow-Squid,OK,12-12,,,manual,touchcore,xox,bookstore,2,1,1,1,3,4,5,4
Yellow-Turtle,OK,12-12,OK,3-8,manual,touchcore,xox,bookstore,4,2,3,5,4,4,5,3
Yellow-Unicorn,OK,12-12,OK,3-8,manual,touchcore,xox,bookstore,3,3,3,4,4,4,5,3
Yellow-Zebra,OK,12-12,OK,4-8,manual,touchcore,xox,bookstore,3,1,2,4,4,4,4,1
