codename,firstapproach,secondapproach,firstapp,secondapp
Blue-Fox,touchcore,manual,xox,bookstore
Blue-Koala,touchcore,manual,xox,bookstore
Blue-Raccoon,touchcore,manual,xox,bookstore
Blue-Squid,touchcore,manual,xox,bookstore
Blue-Turtle,touchcore,manual,xox,bookstore
Blue-Unicorn,touchcore,manual,xox,bookstore
Blue-Zebra,touchcore,manual,xox,bookstore
Green-Fox,manual,touchcore,bookstore,xox
Green-Koala,manual,touchcore,bookstore,xox
Green-Raccoon,manual,touchcore,bookstore,xox
Green-Squid,manual,touchcore,bookstore,xox
Green-Turtle,manual,touchcore,bookstore,xox
Green-Unicorn,manual,touchcore,bookstore,xox
Green-Zebra,manual,touchcore,bookstore,xox
Red-Fox,touchcore,manual,bookstore,xox
Red-Koala,touchcore,manual,bookstore,xox
Red-Raccoon,touchcore,manual,bookstore,xox
Red-Squid,touchcore,manual,bookstore,xox
Red-Turtle,touchcore,manual,bookstore,xox
Red-Unicorn,touchcore,manual,bookstore,xox
Red-Zebra,touchcore,manual,bookstore,xox
Yellow-Fox,manual,touchcore,xox,bookstore
Yellow-Koala,manual,touchcore,xox,bookstore
Yellow-Raccoon,manual,touchcore,xox,bookstore
Yellow-Squid,manual,touchcore,xox,bookstore
Yellow-Turtle,manual,touchcore,xox,bookstore
Yellow-Unicorn,manual,touchcore,xox,bookstore
Yellow-Zebra,manual,touchcore,xox,bookstore
